question,input_length,rouge_l,latency_ms,token_count
What documents do I need for a standard clinical lab screening?,13,0.439,936.0,419
My infant has a sudden rash and high fever - what are my triage options?,9,0.3235,1106.0,157
I need to restructure an emergency chronic care plan.,8,0.3,889.0,223
My infant has a sudden rash and high fever - what are my triage options?,17,0.3928,921.0,229
What documents do I need for a standard clinical lab screening?,10,0.3365,839.0,390
Can I book an inpatient clinical appointment online?,12,0.3407,1096.0,323
Has the new MoH policy changed our clinical referral rules?,13,0.4199,898.0,353
I need to restructure an emergency chronic care plan.,10,0.3585,842.0,191
Can I book an inpatient clinical appointment online?,8,0.2893,1093.0,423
My infant has a sudden rash and high fever - what are my triage options?,13,0.3721,984.0,312
I need to restructure an emergency chronic care plan.,8,0.3952,893.0,399
Has the new MoH policy changed our clinical referral rules?,12,0.2792,965.0,168
Has the new MoH policy changed our clinical referral rules?,14,0.3,869.0,185
How long does it take to process outpatient laboratory results?,11,0.3708,992.0,297
How long does it take to process outpatient laboratory results?,11,0.3981,1083.0,196
My infant has a sudden rash and high fever - what are my triage options?,16,0.3455,1031.0,200
I need to restructure an emergency chronic care plan.,13,0.352,833.0,201
My infant has a sudden rash and high fever - what are my triage options?,17,0.3528,689.0,235
I need to restructure an emergency chronic care plan.,11,0.3279,939.0,303
What documents do I need for a standard clinical lab screening?,11,0.3714,1035.0,173
Can I book an inpatient clinical appointment online?,6,0.3908,919.0,178
Can I book an inpatient clinical appointment online?,9,0.3969,838.0,333
Can I book an inpatient clinical appointment online?,10,0.3278,1047.0,370
How long does it take to process outpatient laboratory results?,10,0.4703,923.0,275
Has the new MoH policy changed our clinical referral rules?,9,0.3588,914.0,360
Has the new MoH policy changed our clinical referral rules?,11,0.263,824.0,242
How long does it take to process outpatient laboratory results?,7,0.417,1155.0,239
What documents do I need for a standard clinical lab screening?,10,0.3499,958.0,345
Has the new MoH policy changed our clinical referral rules?,12,0.3044,979.0,273
My infant has a sudden rash and high fever - what are my triage options?,17,0.3901,973.0,448
How long does it take to process outpatient laboratory results?,12,0.1978,1031.0,268
My infant has a sudden rash and high fever - what are my triage options?,13,0.2502,1011.0,280
My infant has a sudden rash and high fever - what are my triage options?,18,0.3518,1064.0,280
I need to restructure an emergency chronic care plan.,13,0.4389,1147.0,154
My infant has a sudden rash and high fever - what are my triage options?,16,0.3645,758.0,297
I need to restructure an emergency chronic care plan.,8,0.3094,1211.0,429
How long does it take to process outpatient laboratory results?,9,0.3674,1016.0,187
My infant has a sudden rash and high fever - what are my triage options?,15,0.4617,875.0,326
Has the new MoH policy changed our clinical referral rules?,10,0.3155,792.0,303
I need to restructure an emergency chronic care plan.,7,0.3578,898.0,367
I need to restructure an emergency chronic care plan.,7,0.2756,940.0,278
My infant has a sudden rash and high fever - what are my triage options?,11,0.4056,960.0,304
How long does it take to process outpatient laboratory results?,6,0.3414,860.0,346
My infant has a sudden rash and high fever - what are my triage options?,15,0.4404,725.0,204
How long does it take to process outpatient laboratory results?,10,0.3504,1031.0,345
Has the new MoH policy changed our clinical referral rules?,10,0.3149,912.0,333
Has the new MoH policy changed our clinical referral rules?,8,0.4246,953.0,301
