question,input_length,rouge_l,latency_ms,token_count
What documents do I need for a standard clinical lab screening?,8,0.4648,877.0,289
How long does it take to process outpatient laboratory results?,14,0.4015,826.0,313
Can I book an inpatient clinical appointment online?,8,0.5146,789.0,191
What documents do I need for a standard clinical lab screening?,11,0.4565,822.0,227
What documents do I need for a standard clinical lab screening?,10,0.4316,929.0,346
Can I book an inpatient clinical appointment online?,5,0.428,716.0,228
Can I book an inpatient clinical appointment online?,10,0.3286,733.0,259
What documents do I need for a standard clinical lab screening?,11,0.5139,792.0,362
How long does it take to process outpatient laboratory results?,8,0.5329,626.0,319
Can I book an inpatient clinical appointment online?,3,0.4464,740.0,388
How long does it take to process outpatient laboratory results?,7,0.4625,829.0,181
What documents do I need for a standard clinical lab screening?,9,0.3432,905.0,365
How long does it take to process outpatient laboratory results?,11,0.414,1022.0,449
Can I book an inpatient clinical appointment online?,5,0.3285,717.0,160
Can I book an inpatient clinical appointment online?,7,0.4346,771.0,344
How long does it take to process outpatient laboratory results?,10,0.3449,973.0,153
How long does it take to process outpatient laboratory results?,9,0.487,841.0,302
How long does it take to process outpatient laboratory results?,10,0.4542,854.0,364
Can I book an inpatient clinical appointment online?,9,0.4997,824.0,429
Can I book an inpatient clinical appointment online?,9,0.4146,973.0,262
How long does it take to process outpatient laboratory results?,8,0.5281,795.0,262
How long does it take to process outpatient laboratory results?,7,0.4277,718.0,373
How long does it take to process outpatient laboratory results?,11,0.3808,746.0,164
How long does it take to process outpatient laboratory results?,6,0.3929,509.0,322
Can I book an inpatient clinical appointment online?,4,0.4656,894.0,357
Can I book an inpatient clinical appointment online?,8,0.362,794.0,234
How long does it take to process outpatient laboratory results?,9,0.3505,980.0,215
Can I book an inpatient clinical appointment online?,9,0.4067,803.0,423
What documents do I need for a standard clinical lab screening?,11,0.2975,770.0,351
Can I book an inpatient clinical appointment online?,6,0.3599,766.0,438
Can I book an inpatient clinical appointment online?,11,0.4585,731.0,163
What documents do I need for a standard clinical lab screening?,12,0.504,911.0,369
What documents do I need for a standard clinical lab screening?,11,0.3812,884.0,386
What documents do I need for a standard clinical lab screening?,11,0.4737,876.0,175
How long does it take to process outpatient laboratory results?,12,0.3879,958.0,344
How long does it take to process outpatient laboratory results?,10,0.5445,717.0,258
How long does it take to process outpatient laboratory results?,13,0.4319,722.0,317
How long does it take to process outpatient laboratory results?,9,0.4008,851.0,344
How long does it take to process outpatient laboratory results?,11,0.3856,797.0,365
How long does it take to process outpatient laboratory results?,14,0.5237,852.0,191
How long does it take to process outpatient laboratory results?,10,0.4272,874.0,159
Can I book an inpatient clinical appointment online?,5,0.4046,600.0,426
What documents do I need for a standard clinical lab screening?,11,0.4588,742.0,329
What documents do I need for a standard clinical lab screening?,14,0.3465,624.0,185
Can I book an inpatient clinical appointment online?,8,0.4828,1002.0,170
What documents do I need for a standard clinical lab screening?,10,0.4847,795.0,276
What documents do I need for a standard clinical lab screening?,10,0.473,878.0,160
Can I book an inpatient clinical appointment online?,4,0.5086,966.0,228
What documents do I need for a standard clinical lab screening?,9,0.4437,859.0,214
How long does it take to process outpatient laboratory results?,10,0.387,719.0,208
Can I book an inpatient clinical appointment online?,7,0.4904,865.0,261
How long does it take to process outpatient laboratory results?,9,0.4663,458.0,281
How long does it take to process outpatient laboratory results?,12,0.3156,757.0,235
Can I book an inpatient clinical appointment online?,5,0.3423,939.0,208
What documents do I need for a standard clinical lab screening?,10,0.4408,794.0,309
What documents do I need for a standard clinical lab screening?,11,0.4246,646.0,446
What documents do I need for a standard clinical lab screening?,12,0.3904,613.0,309
Can I book an inpatient clinical appointment online?,7,0.51,902.0,342
How long does it take to process outpatient laboratory results?,9,0.399,761.0,251
What documents do I need for a standard clinical lab screening?,15,0.4429,852.0,274
What documents do I need for a standard clinical lab screening?,13,0.4343,769.0,304
Can I book an inpatient clinical appointment online?,7,0.4157,796.0,211
Can I book an inpatient clinical appointment online?,9,0.4231,888.0,171
How long does it take to process outpatient laboratory results?,9,0.4247,560.0,422
How long does it take to process outpatient laboratory results?,11,0.4408,920.0,339
What documents do I need for a standard clinical lab screening?,5,0.5453,783.0,409
Can I book an inpatient clinical appointment online?,10,0.3576,874.0,324
What documents do I need for a standard clinical lab screening?,8,0.3826,1030.0,365
How long does it take to process outpatient laboratory results?,9,0.433,904.0,204
How long does it take to process outpatient laboratory results?,10,0.429,844.0,335
Can I book an inpatient clinical appointment online?,12,0.4165,824.0,385
Can I book an inpatient clinical appointment online?,10,0.4863,942.0,228
How long does it take to process outpatient laboratory results?,11,0.3514,996.0,240
Can I book an inpatient clinical appointment online?,5,0.4382,709.0,417
Can I book an inpatient clinical appointment online?,7,0.4397,839.0,288
Can I book an inpatient clinical appointment online?,8,0.5168,854.0,425
How long does it take to process outpatient laboratory results?,9,0.4778,943.0,388
How long does it take to process outpatient laboratory results?,7,0.4558,884.0,287
How long does it take to process outpatient laboratory results?,9,0.5025,782.0,275
What documents do I need for a standard clinical lab screening?,11,0.4096,802.0,292
How long does it take to process outpatient laboratory results?,7,0.3336,991.0,274
How long does it take to process outpatient laboratory results?,8,0.3605,542.0,441
Can I book an inpatient clinical appointment online?,6,0.3406,997.0,344
How long does it take to process outpatient laboratory results?,12,0.3787,1070.0,164
How long does it take to process outpatient laboratory results?,11,0.4005,500.0,316
What documents do I need for a standard clinical lab screening?,15,0.3366,603.0,399
What documents do I need for a standard clinical lab screening?,13,0.5664,966.0,331
How long does it take to process outpatient laboratory results?,11,0.4557,902.0,324
How long does it take to process outpatient laboratory results?,11,0.4369,813.0,291
Can I book an inpatient clinical appointment online?,7,0.3748,766.0,155
Can I book an inpatient clinical appointment online?,4,0.4141,681.0,247
What documents do I need for a standard clinical lab screening?,8,0.4308,967.0,273
Can I book an inpatient clinical appointment online?,9,0.3258,681.0,358
How long does it take to process outpatient laboratory results?,11,0.3611,773.0,434
What documents do I need for a standard clinical lab screening?,12,0.3619,813.0,393
Can I book an inpatient clinical appointment online?,5,0.3839,838.0,401
How long does it take to process outpatient laboratory results?,6,0.4464,798.0,158
What documents do I need for a standard clinical lab screening?,12,0.4334,964.0,300
