question,input_length,rouge_l,latency_ms,token_count
How long does it take to process outpatient laboratory results?,10,0.4357,801.0,292
How long does it take to process outpatient laboratory results?,9,0.3351,750.0,336
What documents do I need for a standard clinical lab screening?,10,0.3719,781.0,339
How long does it take to process outpatient laboratory results?,10,0.5332,821.0,257
Can I book an inpatient clinical appointment online?,8,0.4155,570.0,286
Can I book an inpatient clinical appointment online?,7,0.4236,1096.0,186
Can I book an inpatient clinical appointment online?,7,0.4381,796.0,237
Can I book an inpatient clinical appointment online?,5,0.4886,890.0,275
What documents do I need for a standard clinical lab screening?,12,0.3654,968.0,386
How long does it take to process outpatient laboratory results?,7,0.4552,1063.0,288
Can I book an inpatient clinical appointment online?,6,0.386,812.0,435
What documents do I need for a standard clinical lab screening?,9,0.327,808.0,316
What documents do I need for a standard clinical lab screening?,8,0.4484,690.0,267
What documents do I need for a standard clinical lab screening?,14,0.373,761.0,311
How long does it take to process outpatient laboratory results?,11,0.3461,827.0,287
What documents do I need for a standard clinical lab screening?,13,0.3236,822.0,258
Can I book an inpatient clinical appointment online?,8,0.4669,652.0,311
What documents do I need for a standard clinical lab screening?,8,0.4513,836.0,405
How long does it take to process outpatient laboratory results?,10,0.4408,718.0,384
What documents do I need for a standard clinical lab screening?,11,0.4376,714.0,285
What documents do I need for a standard clinical lab screening?,14,0.4484,657.0,276
Can I book an inpatient clinical appointment online?,9,0.3615,894.0,437
Can I book an inpatient clinical appointment online?,10,0.3708,916.0,284
Can I book an inpatient clinical appointment online?,8,0.4693,1028.0,449
How long does it take to process outpatient laboratory results?,9,0.3748,693.0,448
How long does it take to process outpatient laboratory results?,8,0.4154,841.0,335
What documents do I need for a standard clinical lab screening?,11,0.4696,802.0,220
Can I book an inpatient clinical appointment online?,10,0.4041,1126.0,402
What documents do I need for a standard clinical lab screening?,12,0.3686,671.0,174
What documents do I need for a standard clinical lab screening?,11,0.4066,886.0,228
Can I book an inpatient clinical appointment online?,8,0.4156,698.0,231
Can I book an inpatient clinical appointment online?,4,0.3932,903.0,366
Can I book an inpatient clinical appointment online?,8,0.3453,821.0,182
How long does it take to process outpatient laboratory results?,10,0.367,818.0,345
Can I book an inpatient clinical appointment online?,8,0.3514,843.0,389
Can I book an inpatient clinical appointment online?,9,0.485,926.0,278
Can I book an inpatient clinical appointment online?,5,0.3637,862.0,155
Can I book an inpatient clinical appointment online?,9,0.4509,1262.0,208
Can I book an inpatient clinical appointment online?,9,0.4881,914.0,424
How long does it take to process outpatient laboratory results?,11,0.4011,891.0,324
What documents do I need for a standard clinical lab screening?,9,0.4058,742.0,300
How long does it take to process outpatient laboratory results?,10,0.5589,576.0,230
How long does it take to process outpatient laboratory results?,11,0.3232,743.0,151
Can I book an inpatient clinical appointment online?,10,0.4239,671.0,284
Can I book an inpatient clinical appointment online?,6,0.4608,712.0,241
Can I book an inpatient clinical appointment online?,8,0.4227,722.0,204
Can I book an inpatient clinical appointment online?,12,0.458,557.0,302
Can I book an inpatient clinical appointment online?,8,0.3803,902.0,409
Can I book an inpatient clinical appointment online?,6,0.4131,861.0,251
What documents do I need for a standard clinical lab screening?,12,0.348,760.0,341
What documents do I need for a standard clinical lab screening?,10,0.3808,1012.0,426
Can I book an inpatient clinical appointment online?,8,0.3443,910.0,150
Can I book an inpatient clinical appointment online?,12,0.4819,618.0,315
How long does it take to process outpatient laboratory results?,9,0.496,715.0,159
What documents do I need for a standard clinical lab screening?,11,0.4665,689.0,335
How long does it take to process outpatient laboratory results?,9,0.2255,677.0,272
What documents do I need for a standard clinical lab screening?,10,0.3451,996.0,273
Can I book an inpatient clinical appointment online?,5,0.3936,816.0,190
What documents do I need for a standard clinical lab screening?,13,0.3338,940.0,398
What documents do I need for a standard clinical lab screening?,11,0.3611,855.0,422
What documents do I need for a standard clinical lab screening?,11,0.384,808.0,215
Can I book an inpatient clinical appointment online?,7,0.4268,879.0,393
Can I book an inpatient clinical appointment online?,11,0.3457,1056.0,234
How long does it take to process outpatient laboratory results?,6,0.4109,871.0,420
Can I book an inpatient clinical appointment online?,8,0.3826,775.0,366
What documents do I need for a standard clinical lab screening?,10,0.3846,902.0,426
Can I book an inpatient clinical appointment online?,8,0.3784,908.0,252
Can I book an inpatient clinical appointment online?,8,0.4688,876.0,309
How long does it take to process outpatient laboratory results?,8,0.3864,890.0,341
How long does it take to process outpatient laboratory results?,11,0.4187,814.0,414
How long does it take to process outpatient laboratory results?,12,0.3845,866.0,211
What documents do I need for a standard clinical lab screening?,10,0.4069,932.0,265
What documents do I need for a standard clinical lab screening?,12,0.4688,957.0,323
What documents do I need for a standard clinical lab screening?,11,0.4609,763.0,433
What documents do I need for a standard clinical lab screening?,11,0.4122,812.0,262
What documents do I need for a standard clinical lab screening?,12,0.3709,1051.0,186
Can I book an inpatient clinical appointment online?,5,0.3471,939.0,180
What documents do I need for a standard clinical lab screening?,12,0.4574,875.0,184
What documents do I need for a standard clinical lab screening?,10,0.3662,809.0,319
What documents do I need for a standard clinical lab screening?,9,0.4785,782.0,413
What documents do I need for a standard clinical lab screening?,9,0.4007,850.0,292
Can I book an inpatient clinical appointment online?,6,0.3707,829.0,398
What documents do I need for a standard clinical lab screening?,11,0.3896,743.0,426
What documents do I need for a standard clinical lab screening?,11,0.3331,631.0,442
Can I book an inpatient clinical appointment online?,6,0.4072,837.0,392
What documents do I need for a standard clinical lab screening?,13,0.4715,781.0,392
How long does it take to process outpatient laboratory results?,9,0.3598,798.0,247
What documents do I need for a standard clinical lab screening?,10,0.4394,701.0,199
Can I book an inpatient clinical appointment online?,9,0.512,787.0,370
How long does it take to process outpatient laboratory results?,10,0.4614,752.0,366
How long does it take to process outpatient laboratory results?,10,0.4208,812.0,389
Can I book an inpatient clinical appointment online?,6,0.4215,860.0,177
Can I book an inpatient clinical appointment online?,10,0.4776,1058.0,200
What documents do I need for a standard clinical lab screening?,9,0.4723,822.0,356
Can I book an inpatient clinical appointment online?,12,0.3715,699.0,323
What documents do I need for a standard clinical lab screening?,9,0.2926,737.0,277
What documents do I need for a standard clinical lab screening?,9,0.429,841.0,247
Can I book an inpatient clinical appointment online?,11,0.477,731.0,379
What documents do I need for a standard clinical lab screening?,9,0.4495,642.0,366
What documents do I need for a standard clinical lab screening?,14,0.4908,744.0,292
How long does it take to process outpatient laboratory results?,6,0.5012,786.0,277
What documents do I need for a standard clinical lab screening?,13,0.3243,728.0,376
Can I book an inpatient clinical appointment online?,8,0.4228,746.0,200
What documents do I need for a standard clinical lab screening?,12,0.3559,783.0,426
What documents do I need for a standard clinical lab screening?,11,0.4509,885.0,197
What documents do I need for a standard clinical lab screening?,8,0.328,953.0,235
How long does it take to process outpatient laboratory results?,10,0.3751,986.0,398
How long does it take to process outpatient laboratory results?,10,0.4908,808.0,259
How long does it take to process outpatient laboratory results?,14,0.5253,770.0,180
What documents do I need for a standard clinical lab screening?,12,0.4587,964.0,344
What documents do I need for a standard clinical lab screening?,9,0.4612,927.0,349
How long does it take to process outpatient laboratory results?,6,0.349,555.0,382
How long does it take to process outpatient laboratory results?,9,0.4631,980.0,366
Can I book an inpatient clinical appointment online?,8,0.5177,634.0,434
Can I book an inpatient clinical appointment online?,4,0.4167,846.0,399
What documents do I need for a standard clinical lab screening?,10,0.296,789.0,247
How long does it take to process outpatient laboratory results?,7,0.4602,844.0,261
What documents do I need for a standard clinical lab screening?,9,0.3892,673.0,446
Can I book an inpatient clinical appointment online?,7,0.4773,682.0,427
What documents do I need for a standard clinical lab screening?,12,0.3882,705.0,310
What documents do I need for a standard clinical lab screening?,10,0.3579,734.0,175
Can I book an inpatient clinical appointment online?,5,0.5379,804.0,394
Can I book an inpatient clinical appointment online?,6,0.4328,787.0,421
What documents do I need for a standard clinical lab screening?,10,0.4569,891.0,179
Can I book an inpatient clinical appointment online?,6,0.3855,767.0,191
What documents do I need for a standard clinical lab screening?,6,0.3291,964.0,185
Can I book an inpatient clinical appointment online?,11,0.4051,869.0,184
Can I book an inpatient clinical appointment online?,8,0.6047,934.0,270
How long does it take to process outpatient laboratory results?,9,0.3627,607.0,211
Can I book an inpatient clinical appointment online?,8,0.3746,629.0,276
Can I book an inpatient clinical appointment online?,6,0.3551,1002.0,170
Can I book an inpatient clinical appointment online?,9,0.4195,978.0,191
How long does it take to process outpatient laboratory results?,10,0.3683,983.0,448
Can I book an inpatient clinical appointment online?,9,0.3578,777.0,417
How long does it take to process outpatient laboratory results?,8,0.337,911.0,283
What documents do I need for a standard clinical lab screening?,14,0.3361,868.0,310
What documents do I need for a standard clinical lab screening?,9,0.3908,729.0,285
How long does it take to process outpatient laboratory results?,8,0.4229,700.0,217
Can I book an inpatient clinical appointment online?,8,0.417,771.0,303
How long does it take to process outpatient laboratory results?,8,0.3854,891.0,311
What documents do I need for a standard clinical lab screening?,12,0.3613,812.0,154
How long does it take to process outpatient laboratory results?,11,0.3198,865.0,438
What documents do I need for a standard clinical lab screening?,9,0.4542,708.0,187
Can I book an inpatient clinical appointment online?,4,0.3223,806.0,259
Can I book an inpatient clinical appointment online?,8,0.3657,877.0,285
What documents do I need for a standard clinical lab screening?,7,0.416,655.0,328
What documents do I need for a standard clinical lab screening?,9,0.4228,697.0,275
How long does it take to process outpatient laboratory results?,9,0.4804,731.0,295
What documents do I need for a standard clinical lab screening?,12,0.3522,864.0,374
Can I book an inpatient clinical appointment online?,10,0.2717,704.0,304
Can I book an inpatient clinical appointment online?,9,0.4078,845.0,420
What documents do I need for a standard clinical lab screening?,9,0.4252,781.0,433
How long does it take to process outpatient laboratory results?,12,0.4353,841.0,203
What documents do I need for a standard clinical lab screening?,10,0.3907,748.0,285
What documents do I need for a standard clinical lab screening?,11,0.3947,835.0,204
Can I book an inpatient clinical appointment online?,12,0.4723,761.0,433
What documents do I need for a standard clinical lab screening?,13,0.3955,555.0,289
How long does it take to process outpatient laboratory results?,7,0.3078,758.0,257
Can I book an inpatient clinical appointment online?,8,0.5206,839.0,325
What documents do I need for a standard clinical lab screening?,10,0.4698,535.0,285
Can I book an inpatient clinical appointment online?,8,0.4663,623.0,400
How long does it take to process outpatient laboratory results?,12,0.4403,750.0,176
What documents do I need for a standard clinical lab screening?,12,0.5562,822.0,366
How long does it take to process outpatient laboratory results?,10,0.3924,698.0,172
What documents do I need for a standard clinical lab screening?,12,0.3686,809.0,320
What documents do I need for a standard clinical lab screening?,10,0.4487,840.0,284
What documents do I need for a standard clinical lab screening?,13,0.3894,768.0,376
Can I book an inpatient clinical appointment online?,6,0.3933,845.0,368
