id,channel,feature,model,question,reference,hypothesis,bleu_4,rouge_1,rouge_2,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,judge_overall,reasoning,quality_gate
q6,Mobile App,triage_advisor,gpt-4o-mini,Pregnant patient reports severe headache and swollen feet. What is the urgency?,Severe headache with swelling during pregnancy may indicate preeclampsia risk. Route to urgent maternal care or emergency department for immediate assessment.,"The symptoms of severe headache and swollen feet in a pregnant patient can indicate potential complications such as preeclampsia, which requires immediate medical attention. It is important for the patient to seek care urgently, as these symptoms can pose risks to both the mother and the fetus. Advise her to go to the nearest healthcare facility for evaluation and management.",0.0089,0.2469,0.0253,0.1728,0.1975,5,5,5,5,5.0,"The AI response correctly identifies the symptoms as potential indicators of preeclampsia, a serious condition during pregnancy. It is grounded in the reference information and relevant to the user's query. The advice to seek urgent medical attention is appropriate and helpful for ensuring the safety of both the mother and the fetus.",FAIL
q6,Mobile App,triage_advisor,gpt-4o,Pregnant patient reports severe headache and swollen feet. What is the urgency?,Severe headache with swelling during pregnancy may indicate preeclampsia risk. Route to urgent maternal care or emergency department for immediate assessment.,"The symptoms of severe headache and swollen feet in a pregnant patient could indicate preeclampsia, a potentially serious condition. It is important for the patient to seek immediate medical attention to evaluate her blood pressure and urine for protein, and to receive appropriate management.",0.014,0.2154,0.0635,0.1846,0.2154,5,5,5,5,5.0,"The AI response correctly identifies the symptoms as potential indicators of preeclampsia, a serious condition during pregnancy. It advises immediate medical attention, aligning with the reference information. The response is relevant, grounded in medical knowledge, and provides clear guidance, making it highly helpful.",FAIL
q7,Mobile App,epidemic_alerts,gpt-4o-mini,Has dengue activity increased in Mombasa county?,Review the AfyaPlus regional surveillance dashboard. Rising dengue activity requires vector control advisories and fever monitoring in primary care facilities.,"As of my last update in October 2023, there have been reports of increased dengue activity in various regions, including Mombasa County. It is important to monitor local health advisories and reports from the Ministry of Health for the latest information. If you experience symptoms such as high fever, severe headache, joint and muscle pain, or rash, seek medical attention promptly for evaluation and management.",0.009,0.2118,0.0482,0.1176,0.1647,3,2,4,3,3.0,"The AI response provides general information about dengue symptoms and advises monitoring local health advisories, which is relevant. However, it lacks specific data from the AfyaPlus regional surveillance dashboard, which is necessary for a grounded and correct assessment of the current dengue activity in Mombasa County. The response could be more helpful by directly referencing the latest data from the specified source.",FAIL
q7,Mobile App,epidemic_alerts,gpt-4o,Has dengue activity increased in Mombasa county?,Review the AfyaPlus regional surveillance dashboard. Rising dengue activity requires vector control advisories and fever monitoring in primary care facilities.,"As of the latest data up to October 2023, there have been reports of increased dengue activity in Mombasa County. It is important to take preventive measures such as using mosquito repellent, wearing long-sleeved clothing, and ensuring that there is no standing water around your home to reduce mosquito breeding. If you experience symptoms like high fever, severe headache, pain behind the eyes, joint and muscle pain, or rash, seek medical attention promptly.",0.0064,0.1277,0.0217,0.1064,0.129,3,2,4,4,3.3,"The AI response correctly identifies preventive measures and symptoms of dengue, which is relevant and helpful. However, it lacks specific confirmation from the AfyaPlus regional surveillance dashboard regarding the increase in dengue activity in Mombasa County, affecting its correctness and groundedness scores.",FAIL
q8,Mobile App,clinical_summaries,gpt-4o-mini,What documents are needed for outpatient registration?,"Registration requires a valid national ID or passport, verified patient health record number, and Ministry of Health referral code when applicable.","For outpatient registration at AfyaPlus Health, you typically need to provide a valid form of identification, such as a national ID or passport. Additionally, you may need to present your insurance card if you have health insurance, and any relevant medical records or referral letters from other healthcare providers. It's advisable to check with the specific facility for any additional requirements.",0.0519,0.3373,0.0988,0.241,0.2927,4,3,5,4,4.0,"The AI response correctly identifies the need for a valid form of identification, aligning with the reference. However, it introduces additional elements like an insurance card and referral letters, which are not mentioned in the reference. The response is relevant and helpful for understanding potential requirements but lacks full grounding in the provided reference.",FAIL
q8,Mobile App,clinical_summaries,gpt-4o,What documents are needed for outpatient registration?,"Registration requires a valid national ID or passport, verified patient health record number, and Ministry of Health referral code when applicable.","For outpatient registration at AfyaPlus Health, you typically need a valid identification document such as a national ID card, passport, or driver's license. Additionally, if you have health insurance, bring your insurance card or details. It's also helpful to have any previous medical records or referral letters if applicable.",0.015,0.3333,0.0571,0.2778,0.3143,3,3,4,3,3.3,"The AI response correctly identifies the need for a valid ID, which aligns with the reference. However, it incorrectly includes a driver's license and health insurance details, which are not mentioned in the reference. The response is relevant to the query but lacks full alignment with the specific requirements outlined in the reference, such as the verified patient health record number and Ministry of Health referral code.",FAIL
q9,Mobile App,triage_advisor,gpt-4o-mini,Adult with chest pain and shortness of breath. Triage level?,Chest pain with shortness of breath is a critical emergency. Immediate escalation to emergency department is required.,"This patient should be triaged as a high priority (Level 1 or 2) due to the potential for a serious condition such as a myocardial infarction or pulmonary embolism. Immediate assessment and intervention are necessary, including obtaining vital signs, an ECG, and possibly administering oxygen. Ensure the patient is in a comfortable position and monitor closely while preparing for further evaluation and treatment.",0.0071,0.1,0.0,0.075,0.1,5,5,5,5,5.0,"The AI response correctly identifies the situation as a high priority emergency, aligning with the reference that chest pain with shortness of breath requires immediate attention. It provides relevant and helpful advice on initial steps to take, such as obtaining vital signs and an ECG, which are standard procedures in such cases. The response is well-grounded in medical practice and directly addresses the user's query.",FAIL
q9,Mobile App,triage_advisor,gpt-4o,Adult with chest pain and shortness of breath. Triage level?,Chest pain with shortness of breath is a critical emergency. Immediate escalation to emergency department is required.,"This presentation requires immediate attention and should be classified as a high-priority triage level, likely an emergency. Chest pain combined with shortness of breath could indicate a serious condition such as a heart attack or pulmonary embolism. The individual should be directed to seek emergency medical care immediately.",0.0669,0.3636,0.125,0.2727,0.3385,5,5,5,5,5.0,"The AI response correctly identifies the symptoms as indicative of a potentially serious condition, such as a heart attack or pulmonary embolism, and appropriately recommends immediate emergency care. The response is well-grounded in medical knowledge and directly relevant to the query, providing clear and helpful guidance.",FAIL
q10,Mobile App,clinical_summaries,gpt-4o-mini,How long are telemedicine intake sessions kept active?,Telemedicine intake sessions remain active for 30 minutes pending clinician review. Incomplete sessions auto-close and prompt the patient to rebook.,"Telemedicine intake sessions are typically kept active for a duration of 15 to 30 minutes, depending on the platform and the specific healthcare provider's policies. It is important to complete the intake process within this timeframe to ensure that your information is accurately captured and reviewed by the healthcare professional. If you need more time, you may need to restart the session.",0.0223,0.2857,0.0976,0.2381,0.2439,4,3,5,4,4.0,"The AI response is mostly correct but slightly deviates from the reference by stating a range of 15 to 30 minutes instead of a specific 30 minutes. The response is relevant and provides helpful advice about completing the intake process within the timeframe. However, it lacks specific grounding to the reference provided, which states a clear 30-minute duration.",FAIL
q10,Mobile App,clinical_summaries,gpt-4o,How long are telemedicine intake sessions kept active?,Telemedicine intake sessions remain active for 30 minutes pending clinician review. Incomplete sessions auto-close and prompt the patient to rebook.,"Telemedicine intake sessions are typically kept active for the duration of the consultation, which can range from 15 to 30 minutes, depending on the complexity of the case and the platform's policy. After the session, the information is usually documented and stored securely in the patient's electronic health record for future reference and continuity of care. It's important to check with the specific telemedicine provider for their exact policies on session duration and data retention.",0.0194,0.2424,0.1031,0.2424,0.2105,2,2,3,2,2.3,"The AI response does not accurately address the specific question about the duration of telemedicine intake sessions, as it discusses the consultation duration instead. It lacks grounding in the provided reference, which states that intake sessions remain active for 30 minutes. The response is somewhat relevant but not directly helpful in answering the user's query about intake session duration.",FAIL
q11,Web Portal,triage_advisor,gpt-4o-mini,Elderly patient fell and cannot bear weight on leg. Next step?,Suspected fracture after a fall requires urgent imaging referral. Escalate to emergency or orthopaedic assessment within 4 hours.,"The elderly patient should be assessed for any signs of fracture or serious injury, particularly in the hip or knee. Immobilize the leg to prevent further injury and avoid moving the patient unless necessary. It is crucial to seek immediate medical attention, either by calling for an ambulance or arranging for transport to a healthcare facility for further evaluation and treatment.",0.0043,0.1266,0.0,0.0759,0.1013,5,5,5,5,5.0,"The AI response correctly identifies the need for immediate medical attention and suggests immobilizing the leg, which aligns with standard medical practice for suspected fractures. It is relevant to the situation and provides helpful guidance on the next steps, including seeking emergency care.",FAIL
q11,Web Portal,triage_advisor,gpt-4o,Elderly patient fell and cannot bear weight on leg. Next step?,Suspected fracture after a fall requires urgent imaging referral. Escalate to emergency or orthopaedic assessment within 4 hours.,"The patient should be evaluated immediately for a possible fracture or serious injury. Advise them to avoid putting any weight on the affected leg and arrange for urgent transport to the nearest healthcare facility for a thorough assessment, including imaging studies like an X-ray.",0.0068,0.2222,0.0,0.127,0.2258,5,5,5,5,5.0,"The AI response correctly identifies the need for immediate evaluation and imaging for a suspected fracture, aligning with the reference guidance. It is relevant to the situation and provides clear, actionable advice to avoid weight-bearing and seek urgent medical attention, making it highly helpful.",FAIL
q12,Web Portal,epidemic_alerts,gpt-4o-mini,What is the protocol when measles cases exceed baseline in a district?,"Activate district measles response: case isolation, contact tracing, immunization catch-up campaigns, and daily situational reports to county health office.","When measles cases exceed baseline levels in a district, the protocol typically involves several key steps: 

1. **Immediate Reporting**: Health facilities must report any suspected measles cases to the district health office promptly.
2. **Outbreak Investigation**: Conduct an outbreak investigation to confirm cases and identify the source of infection.
3. **Vaccination Campaign**: Implement a targeted vaccination campaign to immunize unvaccinated children, especially in high-risk areas.
4. **Public Awareness**: Increase public awareness about measles symptoms, prevention, and the importance of vaccination.
5. **Monitoring and Evaluation**: Continuously monitor the situation and evaluate the effectiveness of the response measures. 

Collaboration with local health authorities and community leaders is essential for effective management.",0.0047,0.1846,0.0156,0.1077,0.1094,4,4,5,4,4.3,"The AI response correctly outlines several important steps in managing a measles outbreak, such as reporting, investigation, vaccination, and public awareness. However, it misses specific actions like case isolation and contact tracing mentioned in the reference. The response is relevant and helpful, providing a comprehensive overview of outbreak management, but could be improved by aligning more closely with the reference protocol.",FAIL
q12,Web Portal,epidemic_alerts,gpt-4o,What is the protocol when measles cases exceed baseline in a district?,"Activate district measles response: case isolation, contact tracing, immunization catch-up campaigns, and daily situational reports to county health office.","When measles cases exceed the baseline in a district, it is important to initiate an outbreak investigation and response. This includes confirming the diagnosis through laboratory testing, enhancing surveillance to identify additional cases, and implementing control measures such as mass vaccination campaigns targeting unvaccinated or under-vaccinated populations. Additionally, public health education should be intensified to inform the community about symptoms, transmission, and the importance of vaccination.",0.0078,0.1839,0.0,0.1149,0.1647,4,4,5,4,4.3,"The AI response correctly outlines general steps for responding to a measles outbreak, such as outbreak investigation, vaccination campaigns, and public health education. However, it misses specific actions mentioned in the reference, like case isolation, contact tracing, and daily situational reports. The response is relevant and helpful but could be more aligned with the specific protocol provided.",FAIL
q13,Web Portal,clinical_summaries,gpt-4o-mini,Explain insurance pre-authorization steps for emergency claims.,"Emergency claims above KES 50,000 require supervisor approval within 24 hours. Submit member ID, clinical summary, and itemized cost estimate through the claims portal.","For emergency claims, the pre-authorization process typically involves the following steps: First, ensure that the emergency service is covered under your insurance policy. Next, contact your insurance provider as soon as possible, ideally from the hospital or emergency facility, to inform them of the situation and request pre-authorization. Provide necessary details such as your policy number, the nature of the emergency, and the services rendered. Finally, keep a record of all communications and any reference numbers provided by the insurer for future follow-up.",0.0067,0.0721,0.0183,0.0721,0.0748,3,2,3,3,2.8,"The AI response provides a general overview of the pre-authorization process for emergency claims but lacks specific details from the reference, such as the requirement for supervisor approval and the submission of specific documents through the claims portal. It is somewhat relevant but not fully aligned with the reference, reducing its groundedness and helpfulness.",FAIL
q13,Web Portal,clinical_summaries,gpt-4o,Explain insurance pre-authorization steps for emergency claims.,"Emergency claims above KES 50,000 require supervisor approval within 24 hours. Submit member ID, clinical summary, and itemized cost estimate through the claims portal.","In emergency situations, pre-authorization is typically not required before receiving treatment. However, once the immediate emergency is addressed, you should notify your insurance provider as soon as possible, usually within 24 to 48 hours, to initiate the claims process. Provide all necessary documentation, such as medical reports and invoices, to facilitate the claim. Always check with your specific insurance policy for any additional requirements or timeframes.",0.0091,0.1957,0.0444,0.1739,0.1556,3,3,4,3,3.3,"The AI response correctly notes that pre-authorization is not typically required in emergencies, aligning with general practices. However, it lacks specific details from the reference, such as the need for supervisor approval and the submission of specific documents through the claims portal. The response is relevant but could be more helpful by incorporating these specific steps and requirements.",FAIL
q14,Web Portal,epidemic_alerts,gpt-4o-mini,How are influenza surges communicated to clinic managers?,Influenza surge alerts are pushed via the AfyaPlus manager dashboard and SMS broadcast. Clinics should increase triage staffing and stock antipyretics during active surge windows.,"Influenza surges are typically communicated to clinic managers through official health alerts from the Ministry of Health or local health authorities. These alerts may include updates on influenza activity levels, recommendations for vaccination, and guidelines for managing patients with flu-like symptoms. Additionally, clinics may receive information through health information systems or direct communication from public health officials to ensure timely response and preparedness.",0.0046,0.2247,0.023,0.1573,0.1591,3,3,4,3,3.3,"The AI response correctly identifies general methods of communication for influenza surges, such as health alerts and direct communication from health authorities. However, it does not specifically mention the AfyaPlus manager dashboard and SMS broadcast, which are the methods referenced in the provided information. The response is relevant to the query but lacks specific details from the reference, reducing its helpfulness and groundedness.",FAIL
q14,Web Portal,epidemic_alerts,gpt-4o,How are influenza surges communicated to clinic managers?,Influenza surge alerts are pushed via the AfyaPlus manager dashboard and SMS broadcast. Clinics should increase triage staffing and stock antipyretics during active surge windows.,"Influenza surges are typically communicated to clinic managers through official health alerts and bulletins from the Ministry of Health or relevant public health authorities. These communications may include data on current influenza activity, guidance on managing increased patient loads, and recommendations for vaccination and infection control measures. Additionally, clinics may receive updates through professional networks or health information systems that track and report on disease trends.",0.0044,0.2418,0.0225,0.1758,0.1538,3,3,4,3,3.3,"The AI response correctly identifies general methods of communication for influenza surges, such as health alerts and bulletins. However, it does not specifically address the methods mentioned in the reference, such as the AfyaPlus manager dashboard and SMS broadcast. The response is relevant to the topic but lacks specific details that would make it more helpful and grounded in the provided reference.",FAIL
q15,Web Portal,clinical_summaries,gpt-4o-mini,What is the staff travel reimbursement timeline?,Approved staff travel reimbursements are processed within 30 days of claim submission with valid receipts and supervisor sign-off.,"I'm sorry, but I don't have information regarding the staff travel reimbursement timeline for AfyaPlus Health. For specific inquiries about reimbursement policies, please consult your HR department or the relevant administrative office for accurate and up-to-date information.",0.0108,0.1333,0.069,0.1333,0.1091,3,2,4,3,3.0,"The AI response correctly suggests consulting HR for specific information, which is generally a good practice for policy-related queries. However, it fails to provide the specific information available in the reference, which states that reimbursements are processed within 30 days. This makes the response less grounded and helpful than it could be.",FAIL
q15,Web Portal,clinical_summaries,gpt-4o,What is the staff travel reimbursement timeline?,Approved staff travel reimbursements are processed within 30 days of claim submission with valid receipts and supervisor sign-off.,"For specific details regarding the staff travel reimbursement timeline at AfyaPlus Health, you should refer to the company's internal policy documents or contact the HR department directly. Generally, reimbursement processes can vary, but they typically require submission of travel expense reports within a set period, often 30 days after the travel is completed, followed by a review and approval process before reimbursement is issued.",0.0092,0.2619,0.0732,0.1905,0.1951,3,2,4,3,3.0,"The AI response provides a general overview of reimbursement processes but lacks specific details about AfyaPlus's policy, which is available in the reference. It suggests contacting HR for precise information, which is helpful, but it could have directly stated the 30-day processing timeline mentioned in the reference. The response is relevant but not fully grounded in the provided information.",FAIL
